,1 Corinthians A,1 Corinthians B,1 Corinthians C,1 John,1 Peter,1 Timothy,2 Corinthians A,2 Corinthians B,Colossians,Ephesians,Galatians,Hebrews A,Hebrews B,James,Revelation A,Revelation B,Revelation C,Revelation D,Romans A,Romans B,Romans C,Barnabas A,Barnabas B,Barnabas C,Clement 1 Corinthians A,Clement 1 Corinthians B,Clement 1 Corinthians C,Clement 1 Corinthians D,Diognetus,Iranaeus Martyrdom Polycarp,Paul A,Ignatius A,Ignatius B,Ignatius C
Galatians,0.11190019077558705,0.07003647694503516,0.11100215709460534,-0.07442819987233372,-0.03883777558155655,-0.0125567216016402,0.05963960843091974,0.061976037005836065,-0.04961344417246677,0.029755648033583222,1.0000000000000004,-0.08466669459111954,-0.05556779598487214,-0.026761606379533714,-0.05757836983283024,-0.17394904478592582,-0.20719404089369478,-0.1508759751595606,0.06492214675433049,0.24525171226828082,0.12170631347363593,-0.12325375801394778,-0.018157975296588923,-0.118331422698414,-0.2734157770609986,-0.15276530635209035,-0.04997065793603354,-0.22841038963479368,-0.029028493817357306,-0.013495355745173193,0.11335499204789247,-0.08899570990445069,-0.029444326490674844,0.017687517346991834
Hebrews A,-0.19354453289072954,-0.19992609228603064,-0.11510066402614567,-0.0820511470878246,-0.0626381878568854,-0.15338145962938834,-0.18518955380360044,-0.13793985886523707,-0.05967781936091372,-0.01899086051757006,-0.08466669459111954,0.9999999999999996,0.36115505606846476,0.0372154501966486,-0.05290534140257557,-0.06911543636128507,-0.037123622447252785,-0.06328012967385964,0.003248669386663242,-0.032315676029537006,0.03472226262899042,0.08158629488827426,-0.04098578737340834,0.16575165956452773,0.05336494609316049,0.1059970528719284,0.03577116334940495,0.07797087443470477,0.12195581722180429,0.09088073586561723,-0.19515761595188497,0.014071288142135192,-0.007561613272840207,-0.04632291650120277
Hebrews B,-0.19493085344834932,-0.1299741429186999,-0.11455288574341783,-0.11409405997373978,0.06837000872870332,0.018495699622350356,-0.10272267437405448,-0.15055329342366702,-0.15322931207558613,0.024728638314465125,-0.05556779598487214,0.36115505606846476,1.0000000000000002,-0.03423904849558928,-0.17382227743125506,-0.014693701751400206,0.023036740018650182,0.00032138267641052486,0.0011430633811785051,-0.03983864046867537,-0.05678988344298524,0.05796383176212881,-0.05001863302752948,-0.004091344167530986,-0.04128051844358727,-0.03739245550540596,-0.07343715689365551,0.06339520048340663,0.040965502957642765,0.047849005253549425,-0.05662034034169737,0.07545034503358712,0.042434687805679064,0.03845174096229905
James,0.007198675554608325,0.010477541063914785,0.050164980175058375,0.017208758221158766,0.0909781770667023,-0.03449510306841057,-0.09065239273011698,-0.042119596084253884,-0.11818698437814042,-0.11707938502474391,-0.026761606379533714,0.0372154501966486,-0.03423904849558928,0.9999999999999999,0.014876971348077226,0.005830520892605264,-0.012941627354821624,-0.05576669913389696,-0.03901154127889706,-0.03860853994567972,0.023338990044040473,-0.07759454012530603,-0.10062423808524355,0.12167345157379234,0.08102030827786462,-0.036546491486373116,0.021889278176486317,-0.04963899957957992,-0.048999847717918994,-0.09603756005159404,-0.2094366349134397,-0.0801609053277919,0.016243378830081767,-0.10947731127954508
Revelation A,-0.11160092802136766,-0.16848630415967586,-0.11265048706157167,-0.04602530833737178,-0.11259255192768951,-0.01816733785570719,-0.18915087320841154,-0.1565094314880652,-0.047582977226373155,-0.1405884207940656,-0.05757836983283024,-0.05290534140257557,-0.17382227743125506,0.014876971348077226,0.9999999999999997,0.41785600594499744,0.5028689081033431,0.36743820123459525,-0.0990233169747118,-0.15845480862089373,-0.028053816599520217,0.0008594380093211046,-0.05407502298148684,-0.013699093334619031,0.0072294315619609775,0.13586147242661564,-0.014154701493125062,-0.024632555090419027,-0.11270433162431893,-0.06937849832635777,-0.21876009451757478,-0.18071812120375524,-0.13703233177303786,-0.17557593655702067
Revelation B,-0.24924289364946278,-0.2182233484849885,-0.16878295231561924,-0.06129478536748688,-0.047822309516090934,-0.03968414845732197,-0.23141771164557287,-0.2692544128723044,-0.0731781459981555,-0.08638506439368619,-0.17394904478592582,-0.06911543636128507,-0.014693701751400206,0.005830520892605264,0.41785600594499744,0.9999999999999999,0.6009720023015608,0.5252297852668177,-0.1022271062335754,-0.24911335361141881,-0.13136021443590074,-0.02678650968781803,-0.02055523354285088,-0.03736444100283523,0.0745704850860374,0.04799460232163489,0.09456504784266535,0.0738702836448208,-0.07545655693768799,0.026727301440595347,-0.28028297256727686,-0.18134725728065587,-0.06173185067862794,-0.24101103006990504
Revelation C,-0.2470033460459147,-0.22312005918038,-0.19800160779581588,0.071012126503853,-0.04087643971349453,-0.0006766194949200575,-0.21421507569766554,-0.2487466053925578,-0.029529182921337802,-0.08026661797832502,-0.20719404089369478,-0.037123622447252785,0.023036740018650182,-0.012941627354821624,0.5028689081033431,0.6009720023015608,0.9999999999999998,0.5084125994118289,-0.1063457227592967,-0.22686102946936176,-0.14951037826279287,-0.1188703388363912,-0.08945329648177858,-0.006677272397088957,0.10575082059420114,0.1179646565394121,0.001105560462384068,0.08221404399615627,-0.14978200938801317,-0.035169102903449156,-0.29352143422168714,-0.17515485630770317,-0.10133461092900561,-0.28367387094278607
Revelation D,-0.19615576460117706,-0.12876203917713222,-0.19310217756159534,0.014766848476432464,-0.15172726331065892,-0.08195947522449912,-0.22660063112109383,-0.22866341688459707,-0.10019395637439456,-0.0664112814432223,-0.1508759751595606,-0.06328012967385964,0.00032138267641052486,-0.05576669913389696,0.36743820123459525,0.5252297852668177,0.5084125994118289,0.9999999999999998,-0.1602727367174053,-0.14331769299100422,-0.15567807162640035,0.012015801518588321,-0.027915210523259314,-0.006308091543060811,0.08388615614827455,0.07993771346431346,0.16381438655707645,0.01758582351228331,-0.14089019888014404,-0.045260371441758394,-0.20481723787551315,-0.17608158395656598,-0.1501604361099267,-0.16053132979132004
Romans A,-0.038762770049876646,0.018820968124905284,-0.013699705002292223,-0.1061946829928063,0.029967585428100185,0.019850137674156026,0.06281466608863731,0.09898707977904118,-0.0754445416214315,-0.007931238445739742,0.06492214675433049,0.003248669386663242,0.0011430633811785051,-0.03901154127889706,-0.0990233169747118,-0.1022271062335754,-0.1063457227592967,-0.1602727367174053,1.0000000000000002,0.12218591082086366,0.09823142712880409,-0.20161059344254473,-0.08873482407265215,-0.13142578579175093,-0.017724913413873767,-0.05847094001889136,0.013082766231656084,-0.03817707974323139,-0.04264602360915234,-0.014006841032270461,0.00632794274449802,-0.03639679649729987,-0.021149152446286675,-0.026097236547827463
Romans B,0.11203432364820971,0.14586807235237068,0.05809457904096828,-0.07631285811422195,-0.01813490828439234,-0.1621030837198579,0.13100046183113553,0.2068714576991998,-0.05976212673000375,-0.04823499238148253,0.24525171226828082,-0.032315676029537006,-0.03983864046867537,-0.03860853994567972,-0.15845480862089373,-0.24911335361141881,-0.22686102946936176,-0.14331769299100422,0.12218591082086366,0.9999999999999993,0.09224252299923415,-0.014804179979637537,0.045689628886956955,-0.013579498695442645,-0.1752946611567673,-0.12703568295486234,-0.1327019638638817,-0.1346192560002885,-0.061332071108794926,-0.15055891221945827,0.031241666071716356,-0.06490187266944132,-0.005290800582485409,0.026274924487677417
Romans C,-0.0704221217642851,0.07196338533509726,0.09244351055924499,-0.14629259797856006,-0.03792018658694545,-0.024863166876092208,0.06580465141530199,0.04260662613651086,-0.0689965610105826,0.06603876476358148,0.12170631347363593,0.03472226262899042,-0.05678988344298524,0.023338990044040473,-0.028053816599520217,-0.13136021443590074,-0.14951037826279287,-0.15567807162640035,0.09823142712880409,0.09224252299923415,0.9999999999999996,-0.10471708724573879,-0.08005026334058028,-0.011277418413761457,-0.03918156418068755,-0.12032934381047225,0.0072370969010271255,0.014941931956030627,-0.05449183590885476,0.01034025165414518,0.10037202235792389,-0.16499214093834352,-0.14497801689441278,-0.013045403216826667
Barnabas A,-0.10812242013225372,-0.12948732634874144,-0.04705494794256521,0.01296922196547353,-0.053383504649976946,-0.13648560561884016,0.050934740897016335,-0.08130483169298194,-0.14489172878857876,-0.05626732665963775,-0.12325375801394778,0.08158629488827426,0.05796383176212881,-0.07759454012530603,0.0008594380093211046,-0.02678650968781803,-0.1188703388363912,0.012015801518588321,-0.20161059344254473,-0.014804179979637537,-0.10471708724573879,1.0000000000000007,0.23523335726703387,0.2598767582996005,-0.09290273436365967,0.04094299747625878,0.002491751129389348,0.021711220562196414,0.069484742870455,-0.07316922922763382,-0.014467885061699472,-0.026273993979282328,-0.12382081457099721,-0.00894870193206718
Barnabas B,-0.058476620748488216,0.014240168628896675,0.012125766159699276,0.049277303383053334,-0.08952225895152911,-0.07455743706872145,-0.1672890880120952,-0.06278850648235695,-0.10730169324892362,-0.15473058236670184,-0.018157975296588923,-0.04098578737340834,-0.05001863302752948,-0.10062423808524355,-0.05407502298148684,-0.02055523354285088,-0.08945329648177858,-0.027915210523259314,-0.08873482407265215,0.045689628886956955,-0.08005026334058028,0.23523335726703387,1.0000000000000002,0.18079372765824747,-0.06719892296012002,-0.06516404591827599,0.06245856039032355,-0.14551702668713495,0.17172681125191439,-0.027764123427540782,-0.024266000744756086,-0.13194962003838384,-0.04749896785630668,-0.04490105630724855
