1-corinthians,-1.1240064390483193,0.26151710056274335
1-john,0.2190559214522285,2.6659382926594994
1-peter,-1.3115600809428563,-0.49053987447668157
1-thessalonians,0.6729844311970402,-0.8428860246735567
1-timothy,0.08249210661756264,-1.0660090136576519
2-corinthians,-0.9810215722730177,-0.6027461673800385
2-john,0.2777193721098947,0.6812544102903756
2-peter,-0.029579479092846705,-1.2413044689307886
2-thessalonians,0.2284023799559085,0.9184076990121284
2-timothy,-0.1266799635527934,0.11735222418314267
3-john,-0.4756821299466202,0.47489490187148603
acts,0.08804888606902293,-0.07728403983696604
colossians,0.38062917747674313,-0.1427082560557522
ephesians,-0.07811156961165301,-0.6236890199095211
galatians,-1.6222222339853525,-0.09125496765146167
hebrews,-0.6721606795411295,-0.5442030483091591
james,0.42105673106064434,0.06932668729047069
john,-0.3276799072025729,2.2385129553315224
jude,-0.7359512093529667,-1.0803632434769652
luke,0.9647652042879512,0.3925669287279809
mark,2.1932253311881245,0.5812680036830576
matthew,0.33008344204672246,1.0632152460791315
philemon,-0.3811196671460347,-1.383367054432242
philippians,0.5768846799049692,-1.2329584275202636
revelation,2.9684830206029513,0.7582542562361748
romans,-1.3946034660435516,0.06173390361279452
titus,-0.14345228623004733,-0.8649290032294568
