,1 Corinthians A,1 Corinthians B,1 Corinthians C,1 John,1 Peter,1 Timothy,2 Corinthians A,2 Corinthians B,Colossians,Ephesians,Galatians,Hebrews A,Hebrews B,James,Revelation A,Revelation B,Revelation C,Revelation D,Romans A,Romans B,Romans C,Barnabas A,Barnabas B,Barnabas C,Clement 1 Corinthians A,Clement 1 Corinthians B,Clement 1 Corinthians C,Clement 1 Corinthians D,Diognetus,Iranaeus Martyrdom Polycarp,Paul A,Ignatius A,Ignatius B,Ignatius C
Galatians,0.27942066225684226,0.1967332362436066,0.08853245098585247,-0.059828364753552736,0.06739129705442577,-0.011975825768252258,0.15796923696423626,0.12607908883224078,-0.04623838477731726,-0.07097510420167437,1.0000000000000004,-0.11709975127426414,-0.13185627738980088,0.04776022576579773,-0.16215350648831975,-0.23543660295438734,-0.24547953111669768,-0.22804240743460882,0.1706651504861433,0.26320085882807753,0.015772095900809042,-0.10045325939861312,-0.09302534718122682,-0.19749438893264076,-0.26655171843890707,-0.22886283892176104,-0.14427463273526972,-0.25849393668983955,-0.11695901213970375,-0.1961528368149394,0.19516879640514323,0.06162653717268368,0.10704393751190125,0.11528818458599956
Hebrews A,-0.21700138634542981,-0.18305786250989858,-0.08735044882340814,-0.12533450985562777,-0.11011639052189874,-0.01706906952821074,-0.1412529326594185,-0.042149365967427105,-0.18473548574223614,-0.09157459196930211,-0.11709975127426414,0.9999999999999999,0.3655901815719851,-0.05977653068419509,0.08892100205273909,0.07420139762724058,0.034721717598416475,0.023967962886312037,-0.030385167373089075,-0.053305131847535527,-0.05415528408339238,0.024062410796142273,0.01663010378234612,0.10141881438424948,0.10979717971131112,0.136554221392715,0.10578583810773029,0.031216502691710994,0.13381605016168965,0.22144897866385727,-0.1968917352309653,-0.16504679287470242,-0.14762375491725258,-0.20245123048646407
Hebrews B,-0.33444257253218024,-0.12393124355615656,-0.06171912766418057,-0.14093584929852088,0.04399952698579141,0.18387318058598626,-0.07222169736127615,-0.07319505994833377,-0.2178857458034109,-0.13804054059825888,-0.13185627738980088,0.3655901815719851,1.0000000000000004,-0.03532279671714009,-0.09566933309344432,0.02650331318882329,-0.04241671797814332,-0.0323779278251155,0.0270172243146741,-0.1337657339535484,-0.0877837996446444,0.038510488268415466,0.08033191780733949,-0.07591975208353784,0.11201650752154392,0.10346562038730142,0.13285232133346037,0.1446862577869733,0.1970732427104786,0.1888646360664396,-0.14410427044698004,-0.13730030262533155,-0.09189499219740202,-0.11411995832164513
James,0.12041035856381137,0.14279369453035698,0.08247923771459928,0.009263082338179941,-0.03132792304475993,0.05396054132797636,-0.16885453473320422,0.046645204085163136,-0.0467652765191074,-0.20646419613606745,0.04776022576579773,-0.05977653068419509,-0.03532279671714009,1.0000000000000004,-0.09660975183821983,-0.12450496965118618,-0.13062452086681992,-0.06751792340312211,0.014818573815803301,-0.008570716031720854,0.02202936948237523,0.021326130876072914,-0.0831843196490596,-0.003178772117983777,0.041158366486128105,0.04079030670105011,-0.03707047287948209,-0.08602282452708641,-0.018301894348245584,-0.10703518700932717,0.010903665538149272,-0.12973509812669953,-0.14494989100594796,-0.1191753350269671
Revelation A,-0.16239631981354574,-0.1733844341395286,-0.13531858492464038,-0.022951609002344216,-0.19673987887542177,-0.07233610424484091,-0.28596027854697154,-0.2008835281297884,-0.19025099103055088,-0.12864839531220992,-0.16215350648831975,0.08892100205273909,-0.09566933309344432,-0.09660975183821983,0.9999999999999993,0.4529117827367036,0.4187661748360392,0.4452132064688809,-0.20188971739401956,-0.0880123591272525,-0.09195364771137873,0.012313272276560469,0.06511654831482916,0.04590775175274965,-0.05380897604839861,0.026414801970316953,-0.10166802870036,-0.07428070315810079,-0.10363946343714786,0.019966430537927106,-0.16877147140644222,-0.16860161619771355,-0.07254742603695809,-0.10974240226004299
Revelation B,-0.25709668635112964,-0.1969146071851271,-0.22248689420325782,-0.038477126898751095,-0.1149454652381742,-0.0488292336616488,-0.3091234878820436,-0.27222566502606216,-0.17706818322470852,-0.14300281119351574,-0.23543660295438734,0.07420139762724058,0.02650331318882329,-0.12450496965118618,0.4529117827367036,1.0000000000000004,0.6465116446648544,0.5216486089713477,-0.17459189169786576,-0.24933680529305485,-0.17822934782699845,-0.032211266688433764,-0.009345476382251382,0.01460978420172224,0.15247637813209422,0.1602273421530527,0.09635609810015985,0.035342894950539994,0.04945258259822329,0.05990279468813767,-0.2927006809331293,-0.3063705485283833,-0.1581956078716728,-0.26164205273290025
Revelation C,-0.21776026377009144,-0.14610959717415062,-0.2483976140733105,0.027952700214585083,-0.14804283861025694,-0.11827124284183937,-0.30770150425812964,-0.2776034490218478,-0.1334177299362881,-0.06575420691462239,-0.24547953111669768,0.034721717598416475,-0.04241671797814332,-0.13062452086681992,0.4187661748360392,0.6465116446648544,0.9999999999999989,0.5572988482200562,-0.1053751088161293,-0.1483690872057303,-0.21156204674647655,-0.09515239725347228,-0.005840539638047242,-0.006352094219796289,0.14594313017934255,0.10491768411149398,-0.03831720337789672,0.0371145984248354,-0.08015855655782472,0.09326579858328894,-0.3064856726472715,-0.26342096498429524,-0.14078433606787244,-0.2266289265387386
Revelation D,-0.20553282495875744,-0.20476466664315843,-0.21100587556132971,0.003880596052984139,-0.20121884955641767,-0.12424510308447634,-0.2613731708756662,-0.23966433773176185,-0.17495894665002065,-0.16319749178347528,-0.22804240743460882,0.023967962886312037,-0.0323779278251155,-0.06751792340312211,0.4452132064688809,0.5216486089713477,0.5572988482200562,1.0000000000000004,-0.09710580356421195,-0.12777373274949397,-0.20920594333085588,-0.05197227229077661,0.10274098541728749,0.07757930489147961,0.028776512480698343,0.16068061510316353,0.04817936222951251,-0.04048623792308966,-0.02546368087266276,0.09462645451543972,-0.2746838880874953,-0.3158980299820708,-0.15899505980651427,-0.22173215565176962
Romans A,0.02269328296308317,-0.10827977437920933,-0.11764549925436205,0.04291834037581993,0.035935331769557335,0.07270128755556628,0.09195082417636762,-0.07183604036786831,-0.03192370095086999,0.007255874633533189,0.1706651504861433,-0.030385167373089075,0.0270172243146741,0.014818573815803301,-0.20188971739401956,-0.17459189169786576,-0.1053751088161293,-0.09710580356421195,0.9999999999999999,0.3019153590488051,-0.03866344398711591,-0.14373546306834414,-0.11720951013648682,-0.06315210389682951,-0.08062127756407854,0.09223628915187235,0.013489745061880127,0.006430319682507921,-0.024929375135205555,-0.1314405082628147,-0.11721690911537687,-0.05098922815277762,-0.11081087493942914,-0.10083312978318944
Romans B,0.21662453217325225,0.08099373243218443,0.08335895746817429,0.08254334952736266,-0.02111740535838601,-0.24908578586128552,0.11435058101562372,-0.01955449589816256,-0.075163877047525,-0.10740527394401733,0.26320085882807753,-0.053305131847535527,-0.1337657339535484,-0.008570716031720854,-0.0880123591272525,-0.24933680529305485,-0.1483690872057303,-0.12777373274949397,0.3019153590488051,0.9999999999999996,0.06261467878099208,-0.042893237389954854,-0.06621861695421895,0.03867882299119015,-0.14910871941686504,-0.0877703039408524,-0.17118260473562968,-0.14353992500864007,-0.15545264782398316,-0.16058565430416888,-0.08737622901864442,-0.08283472137571948,-0.02024473474363914,-0.018421203752660025
Romans C,0.08393265986455266,0.16457775717142106,0.16359393540879164,-0.1414717343083238,0.06380419156421048,-0.001481989350548167,0.05411568164392823,0.24466195927080062,0.05922904083645076,0.07445691052419953,0.015772095900809042,-0.05415528408339238,-0.0877837996446444,0.02202936948237523,-0.09195364771137873,-0.17822934782699845,-0.21156204674647655,-0.20920594333085588,-0.03866344398711591,0.06261467878099208,0.9999999999999999,-0.09515304739994891,-0.17673178739797132,-0.011615412286379767,-0.06770874372912111,-0.15825389096125383,-0.020698887738560642,-0.02850845934193106,-0.17893932852464375,-0.07642001904191606,0.1539836313314877,-0.03490572033206382,-0.033618350133606534,0.02705826939521898
Barnabas A,-0.1248563496665163,-0.042913239145654265,-0.06047174675843803,-0.06837097321464991,-0.18810917739296334,-0.04416599768927757,-0.09244608738815115,-0.07245012350889535,-0.0695122275488969,-0.12710977392480866,-0.10045325939861312,0.024062410796142273,0.038510488268415466,0.021326130876072914,0.012313272276560469,-0.032211266688433764,-0.09515239725347228,-0.05197227229077661,-0.14373546306834414,-0.042893237389954854,-0.09515304739994891,0.9999999999999994,0.2647633016644257,0.30244939256323244,0.06509885373553917,0.099083133590062,0.0854486802556276,0.04235767029268589,-0.06167014738689997,0.07194739203720094,-0.01952694862174609,-0.05928902951776756,-0.1576937859315007,-0.07408467898123966
Barnabas B,-0.19859276402624637,0.027926513617508687,0.05440337765173479,0.027817381249984965,-0.12267995280099127,-0.05347147744012313,-0.13884307735166596,-0.1221080595437333,-0.18134340649096153,-0.21368794949554723,-0.09302534718122682,0.01663010378234612,0.08033191780733949,-0.0831843196490596,0.06511654831482916,-0.009345476382251382,-0.005840539638047242,0.10274098541728749,-0.11720951013648682,-0.06621861695421895,-0.17673178739797132,0.2647633016644257,1.0000000000000004,0.2137312125287353,-0.014897812495092252,-0.059652397822234055,-0.06380982050579803,-0.12133776441867415,0.06291042765566167,0.08445325478353506,-0.07107861664526108,-0.12480907355850317,-0.03672226493866693,-0.10764229665098561
Barnabas C,-0.0676365449241564,-0.0639140263017403,-0.06316360270998292,-0.07763523497951545,-0.15972218507937952,-0.07678338893922423,-0.04007123152418673,-0.1360251655530837,-0.13462474960657184,-0.08466966548489764,-0.19749438893264076,0.10141881438424948,-0.07591975208353784,-0.003178772117983777,0.04590775175274965,0.01460978420172224,-0.006352094219796289,0.07757930489147961,-0.06315210389682951,0.03867882299119015,-0.011615412286379767,0.30244939256323244,0.2137312125287353,0.9999999999999998,0.04096852987644241,0.11468024960267933,0.009937492439711492,0.05595245649907056,-0.08878035414696331,0.040953825504679485,-0.15428303210902325,-0.10915985594132716,-0.17977197506170442,-0.1647822815145386
Clement 1 Corinthians A,-0.266961293832915,-0.2466844608286571,-0.17920312200209212,-0.09739177069500114,0.02019502458099435,-0.03399594806489445,-0.13081787944403325,-0.14751829745714543,0.01142254105644301,-0.09684595139517096,-0.26655171843890707,0.10979717971131112,0.11201650752154392,0.041158366486128105,-0.05380897604839861,0.15247637813209422,0.14594313017934255,0.028776512480698343,-0.08062127756407854,-0.14910871941686504,-0.06770874372912111,0.06509885373553917,-0.014897812495092252,0.04096852987644241,0.9999999999999993,0.22221864442893308,0.2839096240191283,0.2925906134811013,0.01630968213417663,0.19048925521966675,-0.14486634283616495,-0.1217998094921516,-0.08805753215900079,-0.14389471414461322
Clement 1 Corinthians B,-0.1861226992743107,-0.2372582687609348,-0.24114942936129655,-0.06834035633447975,-0.05934054638986099,-0.046424537947918953,-0.1771683913422042,-0.2603350145338322,-0.12639747541677152,-0.12409020267148403,-0.22886283892176104,0.136554221392715,0.10346562038730142,0.04079030670105011,0.026414801970316953,0.1602273421530527,0.10491768411149398,0.16068061510316353,0.09223628915187235,-0.0877703039408524,-0.15825389096125383,0.099083133590062,-0.059652397822234055,0.11468024960267933,0.22221864442893308,1.0000000000000004,0.34294042973076894,0.31198869792447825,0.1768199050491496,0.08562340549233441,-0.26791742483950226,-0.19687154388053532,-0.14998831405591107,-0.20857875679089083
Clement 1 Corinthians C,-0.28847222889901264,-0.16199883261215783,-0.1101437378239064,-0.13547504689623782,-0.0227551160223302,0.05925560847050147,-0.0880463253087649,-0.10909054421218367,-0.06786539001613555,-0.017222669864920437,-0.14427463273526972,0.10578583810773029,0.13285232133346037,-0.03707047287948209,-0.10166802870036,0.09635609810015985,-0.03831720337789672,0.04817936222951251,0.013489745061880127,-0.17118260473562968,-0.020698887738560642,0.0854486802556276,-0.06380982050579803,0.009937492439711492,0.2839096240191283,0.34294042973076894,0.9999999999999984,0.19770421476553754,0.13535119570494092,0.1282331221259178,-0.1296221561031606,-0.17135777736218835,-0.08850613354120693,-0.15894860976459024
Clement 1 Corinthians D,-0.3021258245348426,-0.31257533407741767,-0.21670449837037695,-0.08183864810486452,0.01334510625958557,0.055388760928151495,-0.06509068066859142,-0.09056258987575319,0.0007503726699338974,0.012616414652266034,-0.25849393668983955,0.031216502691710994,0.1446862577869733,-0.08602282452708641,-0.07428070315810079,0.035342894950539994,0.0371145984248354,-0.04048623792308966,0.006430319682507921,-0.14353992500864007,-0.02850845934193106,0.04235767029268589,-0.12133776441867415,0.05595245649907056,0.2925906134811013,0.31198869792447825,0.19770421476553754,0.9999999999999994,0.08565982463693457,0.16447104402058407,-0.06071069558022987,-0.011070509088777299,-0.002947456046442191,-0.07273716528141305
Diognetus,-0.11684259404886996,-0.05884462846703738,-0.022710342347658168,-0.13633793646617332,-0.018400787809040614,0.2175249912470262,-0.06145908595944067,-0.09045440373155578,-0.09162551814552355,-0.11884786307763401,-0.11695901213970375,0.13381605016168965,0.1970732427104786,-0.018301894348245584,-0.10363946343714786,0.04945258259822329,-0.08015855655782472,-0.02546368087266276,-0.024929375135205555,-0.15545264782398316,-0.17893932852464375,-0.06167014738689997,0.06291042765566167,-0.08878035414696331,0.01630968213417663,0.1768199050491496,0.13535119570494092,0.08565982463693457,0.9999999999999998,0.1394550380707101,-0.20273520741339893,-0.051581642893655945,-0.09826834171959453,-0.11349565948273474
Iranaeus Martyrdom Polycarp,-0.23062535649545757,-0.16860898391146187,-0.21155308465121495,-0.16163513711415028,-0.055894784297672806,-0.006559780568909269,-0.1338883475366868,-0.19606926270119115,-0.15698689839302488,-0.04004906257389274,-0.1961528368149394,0.22144897866385727,0.1888646360664396,-0.10703518700932717,0.019966430537927106,0.05990279468813767,0.09326579858328894,0.09462645451543972,-0.1314405082628147,-0.16058565430416888,-0.07642001904191606,0.07194739203720094,0.08445325478353506,0.040953825504679485,0.19048925521966675,0.08562340549233441,0.1282331221259178,0.16447104402058407,0.1394550380707101,1.0,-0.16340604967348582,0.010867995001025345,-0.08946109941737564,-0.027420461191914196
Paul A,0.12877378856461852,0.07830861973571271,0.03348292126458742,-0.031179150887382847,0.0649404628440691,-0.039959852253223606,0.2818314288390012,0.36812987251670076,0.2426900022769782,0.15186124828997047,0.19516879640514323,-0.1968917352309653,-0.14410427044698004,0.010903665538149272,-0.16877147140644222,-0.2927006809331293,-0.3064856726472715,-0.2746838880874953,-0.11721690911537687,-0.08737622901864442,0.1539836313314877,-0.01952694862174609,-0.07107861664526108,-0.15428303210902325,-0.14486634283616495,-0.26791742483950226,-0.1296221561031606,-0.06071069558022987,-0.20273520741339893,-0.16340604967348582,1.0000000000000007,0.15099366795973035,0.1325259041827533,0.20632919987767226
Ignatius A,0.10006166367043716,0.0205291470804353,0.03180308827903254,-0.06891661573128001,0.12610159288804357,0.006885744552584382,0.12176884791781463,0.03597988082494618,0.13521669528431035,0.14009993688014705,0.06162653717268368,-0.16504679287470242,-0.13730030262533155,-0.12973509812669953,-0.16860161619771355,-0.3063705485283833,-0.26342096498429524,-0.3158980299820708,-0.05098922815277762,-0.08283472137571948,-0.03490572033206382,-0.05928902951776756,-0.12480907355850317,-0.10915985594132716,-0.1217998094921516,-0.19687154388053532,-0.17135777736218835,-0.011070509088777299,-0.051581642893655945,0.010867995001025345,0.15099366795973035,1.0000000000000007,0.4650689108317632,0.5293801793769533
Ignatius B,0.010233250414339597,-0.04879539531852963,-0.017002481435642845,-0.03546470078550457,0.1164114804935495,-0.02877706799720481,-0.07309461049735679,0.00353983366924774,0.09301376732714556,-0.002480735620648152,0.10704393751190125,-0.14762375491725258,-0.09189499219740202,-0.14494989100594796,-0.07254742603695809,-0.1581956078716728,-0.14078433606787244,-0.15899505980651427,-0.11081087493942914,-0.02024473474363914,-0.033618350133606534,-0.1576937859315007,-0.03672226493866693,-0.17977197506170442,-0.08805753215900079,-0.14998831405591107,-0.08850613354120693,-0.002947456046442191,-0.09826834171959453,-0.08946109941737564,0.1325259041827533,0.4650689108317632,0.9999999999999993,0.4863155710861114
Ignatius C,0.15724625470800205,0.02378995485112475,-0.013319072255153412,-0.01802233834374915,-0.010859391858722117,-0.006034496626791834,0.06497268230619598,0.06579300025742166,0.019522282977041994,0.014709918327631905,0.11528818458599956,-0.20245123048646407,-0.11411995832164513,-0.1191753350269671,-0.10974240226004299,-0.26164205273290025,-0.2266289265387386,-0.22173215565176962,-0.10083312978318944,-0.018421203752660025,0.02705826939521898,-0.07408467898123966,-0.10764229665098561,-0.1647822815145386,-0.14389471414461322,-0.20857875679089083,-0.15894860976459024,-0.07273716528141305,-0.11349565948273474,-0.027420461191914196,0.20632919987767226,0.5293801793769533,0.4863155710861114,1.0000000000000007
